epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,4244.07,2.53947,1.72083,1.98449,0.58085,0.37324,0.37766,0.12563,4.60561,3.16014,2.86005,0.00102584,0.00102584,0.00102584
125,4278.03,2.4848,1.7054,1.97173,0.54826,0.33335,0.38248,0.13784,4.57371,3.00075,2.83572,0.00101792,0.00101792,0.00101792
126,4312.12,2.57323,1.70039,2.00644,0.58926,0.39403,0.39134,0.13628,4.4723,2.60711,2.84594,0.00101,0.00101,0.00101
127,4346.3,2.40686,1.54656,1.90864,0.69927,0.35915,0.38793,0.12433,4.54404,2.65373,2.88671,0.00100208,0.00100208,0.00100208
128,4380.21,2.44661,1.58249,1.91913,0.59258,0.34507,0.35284,0.12933,4.63433,2.726,2.8108,0.00099416,0.00099416,0.00099416
129,4414.15,2.45075,1.56843,1.95092,0.63475,0.39164,0.38553,0.13729,4.61769,2.73014,2.88584,0.00098624,0.00098624,0.00098624
130,4448.22,2.36461,1.61114,1.95096,0.706,0.33099,0.37316,0.14121,4.60385,2.72965,2.82652,0.00097832,0.00097832,0.00097832
131,4482.33,2.36953,1.49964,1.93058,0.63745,0.33099,0.35673,0.13717,4.67988,3.12112,2.84434,0.0009704,0.0009704,0.0009704
132,4516.24,2.36445,1.54933,1.93384,0.73146,0.32394,0.37689,0.14474,4.73347,2.68775,2.89612,0.00096248,0.00096248,0.00096248
133,4550.34,2.50358,1.57124,1.98725,0.73415,0.35915,0.37721,0.14515,4.74391,2.71291,3.02652,0.00095456,0.00095456,0.00095456
134,4584.43,2.34811,1.49223,1.92907,0.53109,0.35211,0.3465,0.12397,4.49442,2.99953,2.83288,0.00094664,0.00094664,0.00094664
135,4618.44,2.3058,1.47976,1.89499,0.80937,0.3588,0.37145,0.13664,4.55858,3.42601,2.84478,0.00093872,0.00093872,0.00093872
136,4652.67,2.4247,1.54232,1.97359,0.70567,0.35211,0.38958,0.13588,4.76675,2.77335,2.83444,0.0009308,0.0009308,0.0009308
137,4686.7,2.38444,1.49345,1.93178,0.90104,0.34507,0.3974,0.14176,4.68609,2.98719,2.82175,0.00092288,0.00092288,0.00092288
138,4720.86,2.46018,1.59253,1.99137,0.7931,0.34507,0.37728,0.13452,4.72572,2.89869,2.85652,0.00091496,0.00091496,0.00091496
139,4754.97,2.4435,1.52562,1.93849,0.71796,0.37648,0.38875,0.13096,4.57028,2.81838,2.86204,0.00090704,0.00090704,0.00090704
140,4789.14,2.39917,1.57338,1.95604,0.81997,0.38028,0.41185,0.14392,4.74501,2.79942,2.9713,0.00089912,0.00089912,0.00089912
141,4823.32,2.33422,1.50973,1.9515,0.67569,0.35211,0.37991,0.14287,4.60672,3.12777,2.9233,0.0008912,0.0008912,0.0008912
142,4857.32,2.50878,1.66488,1.94475,0.75602,0.35211,0.36574,0.14355,4.57716,3.10939,2.85345,0.00088328,0.00088328,0.00088328
143,4891.58,2.3672,1.58421,1.97378,0.78043,0.37324,0.41746,0.14066,4.59021,2.86306,2.75854,0.00087536,0.00087536,0.00087536
144,4925.78,2.26045,1.43645,1.88047,0.79756,0.3662,0.41017,0.14447,4.62016,2.82679,2.86061,0.00086744,0.00086744,0.00086744
145,4959.79,2.29004,1.48601,1.91045,0.74909,0.35744,0.36833,0.13557,4.56463,3.01095,2.81798,0.00085952,0.00085952,0.00085952
